Localidad	Altitud	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40
Alamala	1530	0.03	0.01	0	0.03	1.13	0.07	0	1.09	0	13.62	2.52	0	0.03	0	0	0	0	1.17	0	0	4.19	0	12.42	2.96	0	0	1.34	0.05	0	0.42	0.18	0	1.22	0	0	0	0	0.18	0	3.18
Alamala	1535	2.57	0.03	0	0	0.48	0	0	0	0	38.82	0.16	0	0.2	0	0	0	0	2.74	0	0	0	0	7.82	7.3	0	0	1.07	0.11	0	0.25	0.55	0	0	0	0	0	0	0	0	0
Alamala	1600	0.1	0	0	0	0.07	0	0	0	0	28.75	0.05	0	0	0.04	0	0	0.38	1.97	0	0	0.07	0	7.54	0	0	1.74	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.65
Alamala	1610	0	0	0	0	2.42	0	0	0	0	14.15	0.05	0.15	0	0.02	0	0	0	0.17	0	2.24	0.17	0	13.58	0	0	0.72	0	0.65	0	0	0	0	0	0	0	0.56	0	0.06	0	2.4
Alamala	1670	0.93	0	0.01	0	2.99	0	0	0	0	29.58	0	0	0	0.13	0	0	0.04	4.01	0	3.18	0	0.16	12.08	0	0	0.4	0.02	3.12	0.09	0	0.02	0	0	0	0.94	1.67	0	0	0	0.01
Alamala	1680	0.55	0	0	0	2.72	0	0	0	0	19.91	0	0	0	0.11	0	0	0	3.56	0	5.28	0.16	0	11.06	0	0	0.3	0	3.43	0	0	0.04	0	0	0	2.72	3.89	0	0	0	0.11
Alamala	1900	0.03	0.01	0	0.03	1.13	0	1.09	0	0	13.62	2.52	0	0.03	0.07	0	0	0	1.17	0	0	4.19	0	12.42	2.96	0	0	1.35	0.05	0	0.42	0.18	0	1.22	0	0	0	0.18	0	0	3.18
Alamala	1955	2.57	0.03	0	0	0.48	0	0	0	0	38.82	0.16	0	0.2	0	0	0	0	2.64	0	0	0	0	7.82	7.3	0	0	1.09	0.11	0	0.25	0.55	0	0	0	0	0	0	0	0	0
Chinchas	1480	0.51	0	0	0.83	0.06	0	0.11	0	18.22	0	0	0	0	0.83	0	0	0	3.78	0	0	3.17	0	14.03	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23
Chinchas	1490	0.4	0	0	0.62	0	0	0.26	0	19.74	0	0	0	0	0.1	0	0	0	3.33	0	0	1.84	0	13.04	2.12	0	0.38	0	0.13	0	0	2.27	0	0	0	0	0	0	0	0	4.68
Chinchas	1620	0	0	0	0	0	0	0	0	15.09	0	0	0	0	0	0.97	1.58	0	0	0	0	0	0	2.21	0	0	0.39	0	0	0.26	0.08	1.37	0	2.8	0	0	0.11	0	0.15	0.19	0.27
Chinchas	1630	0	0	0	0	0	0	0	0.38	17.28	0	0.02	0	0	0	0	1.56	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	2.57	0	0.38	0	0	0.05	0	0.25	0.07	3.85
Chinchas	1950	0	0	0	0	0	0	0	0.58	0	15.75	5.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0.19	8.04	0	0.04	0.98	0	0.22	0	0.55	0	0.49
Chinchas	1970	0	0	0	0	0	0	0	0.02	8.06	8.55	3.95	0.04	0	0	3.46	0	0	0	0.02	0	0	0	0	0	1.55	0.21	0	0	0	0.26	3.3	0	0.28	0.22	0	1.15	0	0.06	3.3	0.34
Chinchas	2070	0.06	0	0	0	0	0	0	0	0	13.65	2.88	0	0	0	0	0	0	0	0.17	0	0	0	0	0.02	0	0	0	0	3.08	0.1	1.33	0	0	0.27	0	0.1	0	0	0.04	2
Chinchas	2090	1.71	0	0	0	0	0	0	0	0	8.94	5.26	0	0	0	0	0	0	0	0.65	0	0	0	0	0.01	0	0	0	0	1.14	0.01	0.79	0.01	0.02	0.13	1.39	0.25	0	0	0.04	5.27
